NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Suffolk County, Massachusetts",25,025,785443,380529
"Worcester County, Massachusetts",25,027,858898,426680
"Alcona County, Michigan",26,001,10238,5199
"Alger County, Michigan",26,003,8866,4943
"Allegan County, Michigan",26,005,120189,60422
"Alpena County, Michigan",26,007,28911,14366
"Antrim County, Michigan",26,009,23662,11833
"Arenac County, Michigan",26,011,15031,7684
"Baraga County, Michigan",26,013,8245,4572
"Barry County, Michigan",26,015,62581,31577
"Bay County, Michigan",26,017,103752,51394
"Benzie County, Michigan",26,019,18058,9065
"Berrien County, Michigan",26,021,153938,75863
"Branch County, Michigan",26,023,44795,23151
"Calhoun County, Michigan",26,025,134011,66230
"Cass County, Michigan",26,027,51604,25911
"Charlevoix County, Michigan",26,029,26174,13106
"Cheboygan County, Michigan",26,031,25709,13072
"Chippewa County, Michigan",26,033,36670,19879
"Clare County, Michigan",26,035,30998,15586
"Clinton County, Michigan",26,037,79249,39424
"Crawford County, Michigan",26,039,13197,6782
"Delta County, Michigan",26,041,36839,18645
"Dickinson County, Michigan",26,043,25937,13219
"Eaton County, Michigan",26,045,109072,54056
"Emmet County, Michigan",26,047,34072,17083
"Genesee County, Michigan",26,049,405280,196717
"Gladwin County, Michigan",26,051,25461,12823
"Gogebic County, Michigan",26,053,14597,7649
"Grand Traverse County, Michigan",26,055,95315,47300
"Gratiot County, Michigan",26,057,41534,22438
"Hillsdale County, Michigan",26,059,45698,22937
"Houghton County, Michigan",26,061,37414,20576
"Huron County, Michigan",26,063,31461,15783
"Ingham County, Michigan",26,065,282540,138535
"Ionia County, Michigan",26,067,66663,36307
"Iosco County, Michigan",26,069,25319,12647
"Iron County, Michigan",26,071,11585,5871
"Isabella County, Michigan",26,073,64938,31554
"Jackson County, Michigan",26,075,160637,82776
"Kalamazoo County, Michigan",26,077,261426,128595
"Kalkaska County, Michigan",26,079,17934,9122
"Kent County, Michigan",26,081,657321,326880
"Keweenaw County, Michigan",26,083,2088,1093
"Lake County, Michigan",26,085,12285,6753
"Lapeer County, Michigan",26,087,88687,45727
"Leelanau County, Michigan",26,089,22426,11155
"Lenawee County, Michigan",26,091,99263,50546
"Livingston County, Michigan",26,093,194302,98266
"Luce County, Michigan",26,095,5442,2865
"Mackinac County, Michigan",26,097,10843,5594
"Macomb County, Michigan",26,099,878453,431113
"Manistee County, Michigan",26,101,25058,12966
"Marquette County, Michigan",26,103,66376,33782
"Mason County, Michigan",26,105,29178,14609
"Mecosta County, Michigan",26,107,40128,20158
"Menominee County, Michigan",26,109,23433,12105
"Midland County, Michigan",26,111,83503,41623
"Missaukee County, Michigan",26,113,15089,7634
"Monroe County, Michigan",26,115,154823,77273
"Montcalm County, Michigan",26,117,66901,35863
"Montmorency County, Michigan",26,119,9261,4727
"Muskegon County, Michigan",26,121,175947,88360
"Newaygo County, Michigan",26,123,50130,25483
"Oakland County, Michigan",26,125,1272264,629093
"Oceana County, Michigan",26,127,26707,13698
"Ogemaw County, Michigan",26,129,20820,10528
"Ontonagon County, Michigan",26,131,5862,3005
"Osceola County, Michigan",26,133,23022,11774
"Oscoda County, Michigan",26,135,8264,4231
"Otsego County, Michigan",26,137,25221,12768
"Ottawa County, Michigan",26,139,296183,147228
"Presque Isle County, Michigan",26,141,13083,6562
"Roscommon County, Michigan",26,143,23556,11891
"Saginaw County, Michigan",26,145,189821,92665
"St. Clair County, Michigan",26,147,160257,80273
"St. Joseph County, Michigan",26,149,60887,30671
"Sanilac County, Michigan",26,151,40759,20605
"Schoolcraft County, Michigan",26,153,8062,4044
"Shiawassee County, Michigan",26,155,68124,33970
"Tuscola County, Michigan",26,157,53218,27048
"Van Buren County, Michigan",26,159,75636,37837
"Washtenaw County, Michigan",26,161,370231,185097
"Wayne County, Michigan",26,163,1781641,864475
"Wexford County, Michigan",26,165,33766,16966
"Aitkin County, Minnesota",27,001,15859,8004
"Anoka County, Minnesota",27,003,363985,183494
"Becker County, Minnesota",27,005,35202,17654
"Beltrami County, Minnesota",27,007,46274,23299
"Benton County, Minnesota",27,009,41300,20822
"Big Stone County, Minnesota",27,011,5161,2618
"Blue Earth County, Minnesota",27,013,69022,34934
"Brown County, Minnesota",27,015,25880,13013
"Carlton County, Minnesota",27,017,36362,19212
"Carver County, Minnesota",27,019,107216,53641
"Cass County, Minnesota",27,021,30288,15590
"Chippewa County, Minnesota",27,023,12466,6290
"Chisago County, Minnesota",27,025,56927,29651
"Clay County, Minnesota",27,027,65307,32443
"Clearwater County, Minnesota",27,029,8541,4314
"Cook County, Minnesota",27,031,5611,2804
"Cottonwood County, Minnesota",27,033,11481,5768
"Crow Wing County, Minnesota",27,035,66558,33304
"Dakota County, Minnesota",27,037,439179,218368
"Dodge County, Minnesota",27,039,20893,10622
"Douglas County, Minnesota",27,041,39081,19714
"Faribault County, Minnesota",27,043,13931,7120
"Fillmore County, Minnesota",27,045,21251,10804
"Freeborn County, Minnesota",27,047,30857,15429
"Goodhue County, Minnesota",27,049,47697,23905
"Grant County, Minnesota",27,051,6091,3133
"Hennepin County, Minnesota",27,053,1270787,633454
"Houston County, Minnesota",27,055,18826,9473
"Hubbard County, Minnesota",27,057,21479,11006
"Isanti County, Minnesota",27,059,41257,20955
"Itasca County, Minnesota",27,061,45054,22891
"Jackson County, Minnesota",27,063,9990,5127
"Kanabec County, Minnesota",27,065,16145,8076
"Kandiyohi County, Minnesota",27,067,43686,22189
"Kittson County, Minnesota",27,069,4191,2096
"Koochiching County, Minnesota",27,071,12072,6099
"Lac qui Parle County, Minnesota",27,073,6736,3439
"Lake County, Minnesota",27,075,10915,5608
"Lake of the Woods County, Minnesota",27,077,3786,2018
"Le Sueur County, Minnesota",27,079,28795,14650
"Lincoln County, Minnesota",27,081,5630,2874
"Lyon County, Minnesota",27,083,25352,12519
"McLeod County, Minnesota",27,085,36727,18448
"Mahnomen County, Minnesota",27,087,5389,2762
"Marshall County, Minnesota",27,089,9017,4578
"Martin County, Minnesota",27,091,19960,10076
"Meeker County, Minnesota",27,093,23352,12031
"Mille Lacs County, Minnesota",27,095,26680,13608
"Morrison County, Minnesota",27,097,34023,17343
"Mower County, Minnesota",27,099,40082,20512
"Murray County, Minnesota",27,101,8170,4110
"Nicollet County, Minnesota",27,103,34380,17372
"Nobles County, Minnesota",27,105,22194,11393
"Norman County, Minnesota",27,107,6457,3343
"Olmsted County, Minnesota",27,109,162307,79676
"Otter Tail County, Minnesota",27,111,60072,30382
"Pennington County, Minnesota",27,113,13995,7035
"Pine County, Minnesota",27,115,29090,15605
"Pipestone County, Minnesota",27,117,9380,4617
"Polk County, Minnesota",27,119,31128,15992
"Pope County, Minnesota",27,121,11312,5798
"Ramsey County, Minnesota",27,123,547202,269113
"Red Lake County, Minnesota",27,125,3912,2031
"Redwood County, Minnesota",27,127,15428,7751
"Renville County, Minnesota",27,129,14707,7557
"Rice County, Minnesota",27,131,67152,34493
"Rock County, Minnesota",27,133,9659,4701
"Roseau County, Minnesota",27,135,15294,8070
"St. Louis County, Minnesota",27,137,200122,101050
"Scott County, Minnesota",27,139,151347,75749
"Sherburne County, Minnesota",27,141,97820,50268
"Sibley County, Minnesota",27,143,14950,7624
"Stearns County, Minnesota",27,145,158622,80483
"Steele County, Minnesota",27,147,37396,18799
"Stevens County, Minnesota",27,149,9682,4977
"Swift County, Minnesota",27,151,9806,5031
"Todd County, Minnesota",27,153,25277,13100
"Traverse County, Minnesota",27,155,3345,1660
"Wabasha County, Minnesota",27,157,21460,10876
"Wadena County, Minnesota",27,159,14108,6998
"Waseca County, Minnesota",27,161,18953,9140
"Washington County, Minnesota",27,163,268651,133828
"Watonwan County, Minnesota",27,165,11205,5708
"Wilkin County, Minnesota",27,167,6454,3426
"Winona County, Minnesota",27,169,49792,24786
"Wright County, Minnesota",27,171,142543,72791
"Yellow Medicine County, Minnesota",27,173,9569,4849
"Adams County, Mississippi",28,001,29425,13867
"Alcorn County, Mississippi",28,003,34717,16911
"Amite County, Mississippi",28,005,12683,5948
"Attala County, Mississippi",28,007,17842,8537
"Benton County, Mississippi",28,009,7637,3780
"Bolivar County, Mississippi",28,011,30688,14462
"Calhoun County, Mississippi",28,013,13193,6523
"Carroll County, Mississippi",28,015,9930,5307
"Chickasaw County, Mississippi",28,017,17024,8270
"Choctaw County, Mississippi",28,019,8208,4080
"Claiborne County, Mississippi",28,021,9044,4405
"Clarke County, Mississippi",28,023,15553,7289
"Clay County, Mississippi",28,025,18598,8803
"Coahoma County, Mississippi",28,027,21264,9982
"Copiah County, Mississippi",28,029,28210,13135
"Covington County, Mississippi",28,031,18323,9001
"DeSoto County, Mississippi",28,033,186214,90194
"Forrest County, Mississippi",28,035,77917,36624
"Franklin County, Mississippi",28,037,7690,3870
"George County, Mississippi",28,039,24547,12440
"Greene County, Mississippi",28,041,13672,8378
"Grenada County, Mississippi",28,043,21474,10391
"Hancock County, Mississippi",28,045,46010,22379
"Harrison County, Mississippi",28,047,208748,102341
"Hinds County, Mississippi",28,049,226541,106310
"Holmes County, Mississippi",28,051,16848,8123
"Humphreys County, Mississippi",28,053,7744,3538
"Issaquena County, Mississippi",28,055,1206,773
"Itawamba County, Mississippi",28,057,23888,11861
"Jackson County, Mississippi",28,059,143721,71078
"Jasper County, Mississippi",28,061,16320,8167
"Jefferson County, Mississippi",28,063,7207,3448
"Jefferson Davis County, Mississippi",28,065,11291,5386
"Jones County, Mississippi",28,067,67152,32780
"Kemper County, Mississippi",28,069,8980,4614
"Lafayette County, Mississippi",28,071,56172,27066
"Lamar County, Mississippi",28,073,64425,30879
"Lauderdale County, Mississippi",28,075,72741,35314
"Lawrence County, Mississippi",28,077,11933,5840
"Leake County, Mississippi",28,079,21335,10586
"Lee County, Mississippi",28,081,83343,39817
"Leflore County, Mississippi",28,083,27920,13124
"Lincoln County, Mississippi",28,085,34855,16669
"Lowndes County, Mississippi",28,087,58547,27946
"Madison County, Mississippi",28,089,109257,52683
"Marion County, Mississippi",28,091,24362,11794
"Marshall County, Mississippi",28,093,33980,16852
"Monroe County, Mississippi",28,095,34168,16511
"Montgomery County, Mississippi",28,097,9803,4674
"Neshoba County, Mississippi",28,099,28970,13754
"Newton County, Mississippi",28,101,21275,10313
"Noxubee County, Mississippi",28,103,10261,4716
"Oktibbeha County, Mississippi",28,105,51388,25696
"Panola County, Mississippi",28,107,33157,15990
"Pearl River County, Mississippi",28,109,56351,27679
"Perry County, Mississippi",28,111,11511,5766
"Pike County, Mississippi",28,113,40098,18918
"Pontotoc County, Mississippi",28,115,31202,15198
"Prentiss County, Mississippi",28,117,24945,12270
"Quitman County, Mississippi",28,119,6113,2877
"Rankin County, Mississippi",28,121,157185,76152
"Scott County, Mississippi",28,123,27943,13871
"Sharkey County, Mississippi",28,125,3910,1950
"Simpson County, Mississippi",28,127,25889,12507
"Smith County, Mississippi",28,129,14310,6747
"Stone County, Mississippi",28,131,18360,9371
"Sunflower County, Mississippi",28,133,25867,13798
"Tallahatchie County, Mississippi",28,135,12621,6735
"Tate County, Mississippi",28,137,28094,13587
"Tippah County, Mississippi",28,139,21769,10594
"Tishomingo County, Mississippi",28,141,18837,9169
"Tunica County, Mississippi",28,143,9787,4835
"Union County, Mississippi",28,145,27880,13752
"Walthall County, Mississippi",28,147,13888,6957
"Warren County, Mississippi",28,149,44341,21320
"Washington County, Mississippi",28,151,44604,21015
"Wayne County, Mississippi",28,153,19760,9600
"Webster County, Mississippi",28,155,9942,4754
"Wilkinson County, Mississippi",28,157,8531,4588
"Winston County, Mississippi",28,159,17741,8562
"Yalobusha County, Mississippi",28,161,12499,5990
"Yazoo County, Mississippi",28,163,27467,16207
"Adair County, Missouri",29,001,25299,12112
"Andrew County, Missouri",29,003,18069,9113
"Atchison County, Missouri",29,005,5270,2666
"Audrain County, Missouri",29,007,24873,11771
"Barry County, Missouri",29,009,34701,17540
"Barton County, Missouri",29,011,11683,5781
"Bates County, Missouri",29,013,16101,8064
"Benton County, Missouri",29,015,19616,10001
"Bollinger County, Missouri",29,017,10658,5298
"Boone County, Missouri",29,019,184043,89484
"Buchanan County, Missouri",29,021,84544,42811
"Butler County, Missouri",29,023,42280,20654
"Caldwell County, Missouri",29,025,8876,4549
"Callaway County, Missouri",29,027,44517,23158
"Camden County, Missouri",29,029,43227,21504
"Cape Girardeau County, Missouri",29,031,81703,39940
"Carroll County, Missouri",29,033,8513,4262
"Carter County, Missouri",29,035,5299,2591
"Cass County, Missouri",29,037,108205,53087
"Cedar County, Missouri",29,039,14314,7313
"Chariton County, Missouri",29,041,7417,3706
"Christian County, Missouri",29,043,89568,43917
"Clark County, Missouri",29,045,6693,3459
"Clay County, Missouri",29,047,253085,125225
"Clinton County, Missouri",29,049,21155,10619
"Cole County, Missouri",29,051,76890,38954
"Cooper County, Missouri",29,053,16893,8535
"Crawford County, Missouri",29,055,23023,11414
"Dade County, Missouri",29,057,7598,3845
"Dallas County, Missouri",29,059,17158,8402
"Daviess County, Missouri",29,061,8418,4222
"DeKalb County, Missouri",29,063,11838,7127
"Dent County, Missouri",29,065,14509,7257
"Douglas County, Missouri",29,067,11803,5991
"Dunklin County, Missouri",29,069,28174,13489
"Franklin County, Missouri",29,071,104858,52478
"Gasconade County, Missouri",29,073,14801,7522
"Gentry County, Missouri",29,075,6219,3034
"Greene County, Missouri",29,077,299188,146659
"Grundy County, Missouri",29,079,9878,4822
"Harrison County, Missouri",29,081,8190,4127
"Henry County, Missouri",29,083,22064,10991
"Hickory County, Missouri",29,085,8452,4307
"Holt County, Missouri",29,087,4274,2134
"Howard County, Missouri",29,089,10142,5168
"Howell County, Missouri",29,091,39960,19454
"Iron County, Missouri",29,093,9538,4762
"Jackson County, Missouri",29,095,715526,348351
"Jasper County, Missouri",29,097,122788,60468
"Jefferson County, Missouri",29,099,226984,113749
"Johnson County, Missouri",29,101,54025,27678
"Knox County, Missouri",29,103,3772,1899
"Laclede County, Missouri",29,105,36060,18027
"Lafayette County, Missouri",29,107,32858,16590
"Lawrence County, Missouri",29,109,38231,19195
"Lewis County, Missouri",29,111,9987,5038
"Lincoln County, Missouri",29,113,60172,30435
"Linn County, Missouri",29,115,11892,5823
"Livingston County, Missouri",29,117,14402,6425
"McDonald County, Missouri",29,119,23381,11840
"Macon County, Missouri",29,121,15173,7532
"Madison County, Missouri",29,123,12649,6356
"Maries County, Missouri",29,125,8454,4274
"Marion County, Missouri",29,127,28525,13933
"Mercer County, Missouri",29,129,3517,1726
"Miller County, Missouri",29,131,24855,12458
"Mississippi County, Missouri",29,133,12305,6527
"Moniteau County, Missouri",29,135,15401,7982
"Monroe County, Missouri",29,137,8668,4445
"Montgomery County, Missouri",29,139,11421,5756
"Morgan County, Missouri",29,141,21169,10660
"New Madrid County, Missouri",29,143,16341,7817
"Newton County, Missouri",29,145,59019,29756
"Nodaway County, Missouri",29,147,21140,10575
"Oregon County, Missouri",29,149,8783,4367
"Osage County, Missouri",29,151,13374,6899
"Ozark County, Missouri",29,153,8688,4343
"Pemiscot County, Missouri",29,155,15555,7304
"Perry County, Missouri",29,157,18970,9415
"Pettis County, Missouri",29,159,43059,21606
"Phelps County, Missouri",29,161,44843,23629
"Pike County, Missouri",29,163,17719,9656
"Platte County, Missouri",29,165,107033,53232
"Polk County, Missouri",29,167,31877,15732
"Pulaski County, Missouri",29,169,53726,29982
"Putnam County, Missouri",29,171,4698,2414
"Ralls County, Missouri",29,173,10356,5301
"Randolph County, Missouri",29,175,24652,12916
"Ray County, Missouri",29,177,23122,11611
"Reynolds County, Missouri",29,179,6102,3177
"Ripley County, Missouri",29,181,10839,5402
"St. Charles County, Missouri",29,183,406262,201131
"St. Clair County, Missouri",29,185,9330,4737
"Ste. Genevieve County, Missouri",29,186,18494,9537
"St. Francois County, Missouri",29,187,66814,35470
"St. Louis County, Missouri",29,189,999703,478717
"Saline County, Missouri",29,195,23219,11642
"Schuyler County, Missouri",29,197,4066,2011
"Scotland County, Missouri",29,199,4720,2304
"Scott County, Missouri",29,201,38055,18523
"Shannon County, Missouri",29,203,7132,3637
"Shelby County, Missouri",29,205,6049,3076
"Stoddard County, Missouri",29,207,28656,14018
"Stone County, Missouri",29,209,31314,15415
"Sullivan County, Missouri",29,211,5983,3001
"Taney County, Missouri",29,213,56202,26873
"Texas County, Missouri",29,215,24828,13096
"Vernon County, Missouri",29,217,19777,9763
"Warren County, Missouri",29,219,35729,17840
"Washington County, Missouri",29,221,23580,12260
"Wayne County, Missouri",29,223,11081,5512
"Webster County, Missouri",29,225,39265,20016
"Worth County, Missouri",29,227,1982,991
"Wright County, Missouri",29,229,18475,9137
"St. Louis city, Missouri",29,510,298018,144893
"Beaverhead County, Montana",30,001,9469,4829
"Big Horn County, Montana",30,003,13090,6498
"Blaine County, Montana",30,005,7030,3530
"Broadwater County, Montana",30,007,6977,3607
"Carbon County, Montana",30,009,10645,5410
"Carter County, Montana",30,011,1332,698
"Cascade County, Montana",30,013,84423,43002
"Chouteau County, Montana",30,015,5897,2956
"Custer County, Montana",30,017,11957,6024
"Daniels County, Montana",30,019,1535,775
"Dawson County, Montana",30,021,8915,4607
"Deer Lodge County, Montana",30,023,9435,5072
"Fallon County, Montana",30,025,2941,1448
"Fergus County, Montana",30,027,11496,5991
"Flathead County, Montana",30,029,105950,53095
"Gallatin County, Montana",30,031,119685,62534
"Garfield County, Montana",30,033,976,487
"Glacier County, Montana",30,035,13781,6820
"Golden Valley County, Montana",30,037,841,419
"Granite County, Montana",30,039,3368,1724
"Hill County, Montana",30,041,16238,8293
"Jefferson County, Montana",30,043,12273,6282
"Judith Basin County, Montana",30,045,2039,1131
"Lake County, Montana",30,047,31509,15630
"Lewis and Clark County, Montana",30,049,71487,35738
"Liberty County, Montana",30,051,1993,908
"Lincoln County, Montana",30,053,20157,10127
"McCone County, Montana",30,055,1746,913
"Madison County, Montana",30,057,8742,4593
"Meagher County, Montana",30,059,1948,1057
"Mineral County, Montana",30,061,4652,2430
"Missoula County, Montana",30,063,118541,59633
"Musselshell County, Montana",30,065,4924,2487
"Park County, Montana",30,067,17320,8723
"Petroleum County, Montana",30,069,416,226
"Phillips County, Montana",30,071,4233,2247
"Pondera County, Montana",30,073,5987,3013
"Powder River County, Montana",30,075,1773,876
"Powell County, Montana",30,077,6998,4455
"Prairie County, Montana",30,079,1283,690
"Ravalli County, Montana",30,081,44876,22535
"Richland County, Montana",30,083,11366,5710
"Roosevelt County, Montana",30,085,10799,5464
"Rosebud County, Montana",30,087,8310,4176
"Sanders County, Montana",30,089,12615,6532
"Sheridan County, Montana",30,091,3700,1945
"Silver Bow County, Montana",30,093,35306,18120
"Stillwater County, Montana",30,095,8978,4560
"Sweet Grass County, Montana",30,097,3697,1906
"Teton County, Montana",30,099,6238,3087
"Toole County, Montana",30,101,5018,2921
"Treasure County, Montana",30,103,680,359
"Valley County, Montana",30,105,7552,3862
"Wheatland County, Montana",30,107,2060,942
"Wibaux County, Montana",30,109,1119,542
"Yellowstone County, Montana",30,111,165524,82077
"Adams County, Nebraska",31,001,31143,15385
"Antelope County, Nebraska",31,003,6302,3193
"Arthur County, Nebraska",31,005,485,255
"Banner County, Nebraska",31,007,670,328
"Blaine County, Nebraska",31,009,384,204
"Boone County, Nebraska",31,011,5397,2721
"Box Butte County, Nebraska",31,013,10778,5486
"Boyd County, Nebraska",31,015,1767,918
"Brown County, Nebraska",31,017,2691,1324
"Buffalo County, Nebraska",31,019,50103,25127
"Burt County, Nebraska",31,021,6717,3358
"Butler County, Nebraska",31,023,8373,4192
"Cass County, Nebraska",31,025,26749,13586
"Cedar County, Nebraska",31,027,8375,4291
"Chase County, Nebraska",31,029,3704,1752
"Cherry County, Nebraska",31,031,5473,2815
"Cheyenne County, Nebraska",31,033,9489,4734
"Clay County, Nebraska",31,035,6088,3093
"Colfax County, Nebraska",31,037,10563,5742
"Cuming County, Nebraska",31,039,9000,4582
"Custer County, Nebraska",31,041,10566,5314
"Dakota County, Nebraska",31,043,21308,10530
"Dawes County, Nebraska",31,045,8279,3951
"Dawson County, Nebraska",31,047,24037,12528
"Deuel County, Nebraska",31,049,1858,918
"Dixon County, Nebraska",31,051,5579,2874
"Dodge County, Nebraska",31,053,37175,18572
"Douglas County, Nebraska",31,055,582638,289721
"Dundy County, Nebraska",31,057,1825,943
"Fillmore County, Nebraska",31,059,5557,2789
"Franklin County, Nebraska",31,061,2901,1456
"Frontier County, Nebraska",31,063,2491,1340
"Furnas County, Nebraska",31,065,4630,2344
"Gage County, Nebraska",31,067,21654,10964
"Garden County, Nebraska",31,069,1778,861
"Garfield County, Nebraska",31,071,1833,938
"Gosper County, Nebraska",31,073,1873,986
"Grant County, Nebraska",31,075,649,363
"Greeley County, Nebraska",31,077,2212,1134
"Hall County, Nebraska",31,079,62575,32000
"Hamilton County, Nebraska",31,081,9400,4738
"Harlan County, Nebraska",31,083,3094,1590
"Hayes County, Nebraska",31,085,919,457
"Hitchcock County, Nebraska",31,087,2620,1352
"Holt County, Nebraska",31,089,10149,5119
"Hooker County, Nebraska",31,091,659,322
"Howard County, Nebraska",31,093,6476,3314
"Jefferson County, Nebraska",31,095,7185,3475
"Johnson County, Nebraska",31,097,5294,3208
"Kearney County, Nebraska",31,099,6655,3337
"Keith County, Nebraska",31,101,8303,4218
"Keya Paha County, Nebraska",31,103,987,498
"Kimball County, Nebraska",31,105,3395,1774
"Knox County, Nebraska",31,107,8415,4225
"Lancaster County, Nebraska",31,109,322063,162505
"Lincoln County, Nebraska",31,111,34532,17250
"Logan County, Nebraska",31,113,839,456
"Loup County, Nebraska",31,115,629,349
"McPherson County, Nebraska",31,117,456,239
"Madison County, Nebraska",31,119,35538,17653
"Merrick County, Nebraska",31,121,7675,3895
"Morrill County, Nebraska",31,123,4562,2449
"Nance County, Nebraska",31,125,3366,1697
"Nemaha County, Nebraska",31,127,7019,3595
"Nuckolls County, Nebraska",31,129,4092,2046
"Otoe County, Nebraska",31,131,15995,8239
"Pawnee County, Nebraska",31,133,2553,1241
"Perkins County, Nebraska",31,135,2860,1480
"Phelps County, Nebraska",31,137,8966,4574
"Pierce County, Nebraska",31,139,7301,3691
"Platte County, Nebraska",31,141,34219,17368
"Polk County, Nebraska",31,143,5182,2581
"Red Willow County, Nebraska",31,145,10690,5224
"Richardson County, Nebraska",31,147,7850,3981
"Rock County, Nebraska",31,149,1312,647
"Saline County, Nebraska",31,151,14275,7286
"Sarpy County, Nebraska",31,153,191272,96591
"Saunders County, Nebraska",31,155,22374,11495
"Scotts Bluff County, Nebraska",31,157,36048,17521
"Seward County, Nebraska",31,159,17644,9122
"Sheridan County, Nebraska",31,161,5102,2558
"Sherman County, Nebraska",31,163,2970,1509
"Sioux County, Nebraska",31,165,1162,571
"Stanton County, Nebraska",31,167,5828,2956
"Thayer County, Nebraska",31,169,5006,2474
"Thomas County, Nebraska",31,171,592,281
"Thurston County, Nebraska",31,173,6716,3306
"Valley County, Nebraska",31,175,4053,2026
"Washington County, Nebraska",31,177,20884,10389
"Wayne County, Nebraska",31,179,9701,4867
"Webster County, Nebraska",31,181,3410,1749
"Wheeler County, Nebraska",31,183,771,365
"York County, Nebraska",31,185,14212,7105
"Churchill County, Nevada",32,001,25409,13112
"Clark County, Nevada",32,003,2265926,1137581
"Douglas County, Nevada",32,005,49476,25063
"Elko County, Nevada",32,007,53600,28070
"Esmeralda County, Nevada",32,009,980,529
"Eureka County, Nevada",32,011,1622,818
"Humboldt County, Nevada",32,013,17266,9009
"Lander County, Nevada",32,015,5728,3109
"Lincoln County, Nevada",32,017,4507,2516
"Lyon County, Nevada",32,019,59435,30802
"Mineral County, Nevada",32,021,4568,2124
"Nye County, Nevada",32,023,51698,26290
"Pershing County, Nevada",32,027,6587,4293
"Storey County, Nevada",32,029,4095,2149
"Washoe County, Nevada",32,031,486674,247473
"White Pine County, Nevada",32,033,8997,5195
"Carson City, Nevada",32,510,58249,30199
"Belknap County, New Hampshire",33,001,63914,31658
"Carroll County, New Hampshire",33,003,50679,25655
"Cheshire County, New Hampshire",33,005,76610,37770
"Coos County, New Hampshire",33,007,31430,16638
"Grafton County, New Hampshire",33,009,90836,45104
"Hillsborough County, New Hampshire",33,011,422733,212276
"Merrimack County, New Hampshire",33,013,153918,76723
"Rockingham County, New Hampshire",33,015,315169,157222
"Strafford County, New Hampshire",33,017,130965,64834
"Sullivan County, New Hampshire",33,019,43356,21845
"Atlantic County, New Jersey",34,001,274339,133897
"Bergen County, New Jersey",34,003,953243,467592
"Burlington County, New Jersey",34,005,461853,228468
"Camden County, New Jersey",34,007,522581,253604
"Cape May County, New Jersey",34,009,95456,46347
"Cumberland County, New Jersey",34,011,153588,78755
"Essex County, New Jersey",34,013,853374,414982
"Gloucester County, New Jersey",34,015,302621,148499
"Hudson County, New Jersey",34,017,712029,356520
"Hunterdon County, New Jersey",34,019,129099,63792
"Mercer County, New Jersey",34,021,383732,189495
"Middlesex County, New Jersey",34,023,860147,427707
"Monmouth County, New Jersey",34,025,643064,315742
"Morris County, New Jersey",34,027,508816,252441
"Ocean County, New Jersey",34,029,638691,310873
"Passaic County, New Jersey",34,031,519986,255780
"Salem County, New Jersey",34,033,64840,32077
"Somerset County, New Jersey",34,035,344978,170153
"Sussex County, New Jersey",34,037,144808,72893
"Union County, New Jersey",34,039,572079,282245
"Warren County, New Jersey",34,041,109739,54469
"Bernalillo County, New Mexico",35,001,674692,332549
"Catron County, New Mexico",35,003,3635,1903
"Chaves County, New Mexico",35,005,64701,32652
"Cibola County, New Mexico",35,006,27211,13765
"Colfax County, New Mexico",35,007,12370,6273
"Curry County, New Mexico",35,009,48327,24945
"De Baca County, New Mexico",35,011,1695,1063
"Doña Ana County, New Mexico",35,013,219870,108834
"Eddy County, New Mexico",35,015,61264,31413
"Grant County, New Mexico",35,017,28006,14084
"Guadalupe County, New Mexico",35,019,4413,2590
"Harding County, New Mexico",35,021,671,339
"Hidalgo County, New Mexico",35,023,4160,2066
"Lea County, New Mexico",35,025,73103,37934
"Lincoln County, New Mexico",35,027,20222,9878
"Los Alamos County, New Mexico",35,028,19253,9884
"Luna County, New Mexico",35,029,25393,12969
"McKinley County, New Mexico",35,031,72073,35101
"Mora County, New Mexico",35,033,4208,1872
"Otero County, New Mexico",35,035,67850,35846
"Quay County, New Mexico",35,037,8641,4206
"Rio Arriba County, New Mexico",35,039,40285,19854
"Roosevelt County, New Mexico",35,041,19142,9583
"Sandoval County, New Mexico",35,043,149460,74086
"San Juan County, New Mexico",35,045,121798,60435
"San Miguel County, New Mexico",35,047,27215,13545
"Santa Fe County, New Mexico",35,049,154481,75375
"Sierra County, New Mexico",35,051,11506,5822
"Socorro County, New Mexico",35,053,16453,8366
"Taos County, New Mexico",35,055,34475,17035
"Torrance County, New Mexico",35,057,15203,7805
"Union County, New Mexico",35,059,4074,2182
"Valencia County, New Mexico",35,061,76613,38604
"Albany County, New York",36,001,315041,153405
"Allegany County, New York",36,003,47222,23892
"Bronx County, New York",36,005,1443229,683349
"Broome County, New York",36,007,198365,98025
"Cattaraugus County, New York",36,009,77000,38652
"Cayuga County, New York",36,011,76171,39143
"Chautauqua County, New York",36,013,127440,63496
"Chemung County, New York",36,015,83584,41704
"Chenango County, New York",36,017,47096,23663
"Clinton County, New York",36,019,79839,41064
"Columbia County, New York",36,021,61469,31068
"Cortland County, New York",36,023,46755,23310
"Delaware County, New York",36,025,44637,22763
"Dutchess County, New York",36,027,296467,148112
"Erie County, New York",36,029,951232,463713
"Essex County, New York",36,031,37314,19297
"Franklin County, New York",36,033,47459,25027
"Fulton County, New York",36,035,53280,26734
"Genesee County, New York",36,037,58204,29171
"Greene County, New York",36,039,48067,24926
"Hamilton County, New York",36,041,5090,2569
