NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Madera County, California",06,039,157243,77200
"Marin County, California",06,041,260485,127983
"Mariposa County, California",06,043,17130,8635
"Mendocino County, California",06,045,91145,45110
"Merced County, California",06,047,282290,143519
"Modoc County, California",06,049,8651,4205
"Mono County, California",06,051,13219,7279
"Monterey County, California",06,053,437609,223186
"Napa County, California",06,055,137384,68760
"Nevada County, California",06,057,102322,50630
"Orange County, California",06,059,3175227,1578013
"Placer County, California",06,061,406608,200326
"Plumas County, California",06,063,19650,10167
"Riverside County, California",06,065,2429487,1220393
"Sacramento County, California",06,067,1579211,779030
"San Benito County, California",06,069,64753,32844
"San Bernardino County, California",06,071,2180563,1094825
"San Diego County, California",06,073,3289701,1667851
"San Francisco County, California",06,075,851036,438093
"San Joaquin County, California",06,077,779445,391204
"San Luis Obispo County, California",06,079,281712,142477
"San Mateo County, California",06,081,754250,376542
"Santa Barbara County, California",06,083,445213,223753
"Santa Clara County, California",06,085,1916831,978952
"Santa Cruz County, California",06,087,268571,134256
"Shasta County, California",06,089,181852,89879
"Sierra County, California",06,091,2916,1411
"Siskiyou County, California",06,093,44049,22035
"Solano County, California",06,095,450995,225302
"Sonoma County, California",06,097,488436,240478
"Stanislaus County, California",06,099,552063,275687
"Sutter County, California",06,101,99101,49828
"Tehama County, California",06,103,65484,32562
"Trinity County, California",06,105,15889,8243
"Tulare County, California",06,107,473446,238140
"Tuolumne County, California",06,109,54993,28367
"Ventura County, California",06,111,842009,419805
"Yolo County, California",06,113,217141,105912
"Yuba County, California",06,115,81705,41643
"Adams County, Colorado",08,001,520149,264853
"Alamosa County, Colorado",08,003,16460,8160
"Arapahoe County, Colorado",08,005,654453,327156
"Archuleta County, Colorado",08,007,13509,6827
"Baca County, Colorado",08,009,3496,1731
"Bent County, Colorado",08,011,5561,3453
"Boulder County, Colorado",08,013,328658,166315
"Broomfield County, Colorado",08,014,73946,37204
"Chaffee County, Colorado",08,015,19564,10215
"Cheyenne County, Colorado",08,017,1726,859
"Clear Creek County, Colorado",08,019,9403,4773
"Conejos County, Colorado",08,021,7553,3827
"Costilla County, Colorado",08,023,3534,1775
"Crowley County, Colorado",08,025,5782,3922
"Custer County, Colorado",08,027,4885,2371
"Delta County, Colorado",08,029,31173,15642
"Denver County, Colorado",08,031,710800,359302
"Dolores County, Colorado",08,033,2329,1297
"Douglas County, Colorado",08,035,360206,181600
"Eagle County, Colorado",08,037,55650,29968
"Elbert County, Colorado",08,039,26457,13448
"El Paso County, Colorado",08,041,730323,372145
"Fremont County, Colorado",08,043,49107,28582
"Garfield County, Colorado",08,045,61683,31693
"Gilpin County, Colorado",08,047,5856,3103
"Grand County, Colorado",08,049,15724,8211
"Gunnison County, Colorado",08,051,17018,9190
"Hinsdale County, Colorado",08,053,911,425
