NAME,Sex by Age_Estimate!!Total: (B01001_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total: (B17010_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family: (B17010_003E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_004E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_011E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present: (B17010_016E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_017E)",Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family: (B17010_023E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_024E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_031E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present: (B17010_036E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_037E)",Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total: (B11003_001E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11003_002E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years: (B11003_003E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total: (B11004_001E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11004_002E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With related children of the householder under 18 years: (B11004_003E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level: (B17017_002E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family: (B17017_004E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_015E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family: (B17017_009E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households: (B17017_020E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level: (B17017_031E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family: (B17017_033E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family: (B17017_038E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_044E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households: (B17017_049E),state,county,Non-married-couple households below poverty level,Non-married-couple households at or above poverty level,Non-married households with 1+ kids below poverty level,Non-married households with 1+ kids at or above poverty level,Married Couple Household Poverty Rate,Non-Married Household Poverty Rate,Married Couple With 1+ Kids Poverty Rate,Non-Married Household With 1+ Kids Poverty Rate,Non-Married/Married Household Poverty Rate Difference,Non-Married Household With 1+ Kids/MarriedHousehold With 1+ Kids Poverty Rate Difference
"Glenn County, California",28657,6870,357,209,81,348,295,4825,1952,279,782,521,6870,5182,1968,6870,5182,2161,1362,357,348,435,570,8380,4825,1253,782,2302,06,021,1005,3555,376,800,0.06889231956773446,0.22039473684210525,0.0967144840351689,0.3197278911564626,0.1515024172743708,0.2230134071212937
"Humboldt County, California",136132,29397,1080,559,481,1554,1349,19614,7208,1535,4212,2050,29397,20694,7231,29397,20694,7767,10468,1080,1554,2158,7230,44027,19614,6545,4212,17868,06,023,9388,24413,1830,3585,0.05218904030153668,0.27774326203366767,0.07197116003604996,0.3379501385041551,0.225554221732131,0.26597897846810514
"Imperial County, California",179578,34862,2326,1363,367,3478,2749,19952,9618,1378,5530,2975,34862,22278,9037,34862,22278,10981,9580,2326,3478,3997,3257,37444,19952,8587,5530,8905,06,025,7254,17492,3116,4353,0.1044079360804381,0.29313828497534955,0.12412348602130953,0.4171910563663141,0.18873034889491147,0.2930675703450046
"Inyo County, California",18829,4367,244,66,16,207,90,3060,903,93,667,323,4367,3304,898,4367,3304,969,989,244,207,225,520,6860,3060,838,667,2962,06,027,745,3800,106,416,0.07384987893462469,0.1639163916391639,0.06811145510835913,0.20306513409961685,0.09006651270453922,0.1349536789912577
"Kern County, California",906883,205689,12168,8186,2750,15734,13767,126734,64662,10722,29218,16700,205689,138902,67119,205689,138902,72848,50451,12168,15734,19757,18526,227048,126734,47030,29218,53284,06,029,38283,100314,16517,27422,0.08760133043440699,0.2762180999588736,0.11237096419942895,0.3759075081362798,0.1886167695244666,0.2635365439368509
"Kings County, California",152515,33660,1657,1273,453,2360,1934,20743,10798,1637,5251,3086,33660,22400,11140,33660,22400,12071,6236,1657,2360,2882,1697,37358,20743,8378,5251,8237,06,031,4579,16615,2387,4723,0.07397321428571428,0.2160517127488912,0.10545936542125756,0.3357243319268636,0.14207849846317694,0.23026496650560602
"Lake County, California",68024,15698,462,225,223,865,720,10662,3678,476,2325,1089,15698,11124,3478,15698,11124,3903,4273,462,865,1143,2668,22214,10662,3431,2325,8121,06,033,3811,11552,943,1565,0.041531823085221145,0.24806352925860833,0.05764796310530361,0.3759968102073365,0.20653170617338718,0.3183488471020329
"Lassen County, California",31873,5908,335,106,82,245,174,4165,1365,142,781,455,5908,4500,1424,5908,4500,1471,1264,335,245,364,565,7661,4165,1044,781,2452,06,035,929,3496,256,597,0.07444444444444444,0.20994350282485877,0.07205982324949015,0.30011723329425555,0.13549905838041432,0.2280574100447654
"Los Angeles County, California",9936690,2218646,94068,56875,19516,98762,77738,1388863,616589,93790,395407,181463,2218646,1482931,606584,2218646,1482931,673464,464528,94068,98762,127429,243031,2898565,1388863,608286,395407,901416,06,037,370460,1509702,97254,275253,0.06343383475023451,0.19703621283697895,0.08445143318722308,0.261079657563482,0.13360237808674444,0.1766282243762589
"Madera County, California",157243,34124,2443,1830,692,2052,1814,21243,9787,1679,4819,2953,34124,23686,10488,34124,23686,11617,7780,2443,2052,2848,2489,36077,21243,7590,4819,7244,06,039,5337,14834,2506,4632,0.10314109600607954,0.2645877745277874,0.15752776103985539,0.35107873353880636,0.16144667852170788,0.19355097249895098
"Marin County, California",260485,65843,1030,536,191,1209,852,52519,21340,1949,7345,3734,65843,53549,21321,65843,53549,21876,7127,1030,1209,1492,4605,96582,52519,10802,7345,33261,06,041,6097,44063,1043,5683,0.019234719602606958,0.12155103668261563,0.024501737063448527,0.1550698780850431,0.10231631708000867,0.13056814102159459
"Mariposa County, California",17130,4524,170,87,89,156,146,3351,803,119,578,348,4524,3521,721,4524,3521,890,901,170,156,245,486,6696,3351,758,578,2587,06,043,731,3345,235,467,0.04828173814257313,0.17934249263984298,0.09775280898876404,0.33475783475783477,0.13106075449726984,0.23700502576907073
"Mendocino County, California",91145,20761,903,476,261,1096,944,13673,4787,775,3326,1688,20761,14576,4872,20761,14576,5263,5415,903,1096,1487,3025,29142,13673,4698,3326,10771,06,045,4512,15469,1205,2463,0.06195115257958288,0.22581452379760772,0.09044271328139844,0.32851690294438385,0.16386337121802486,0.2380741896629854
"Merced County, California",282290,63078,3515,2323,736,5208,4457,36868,18179,3672,9642,5981,63078,40383,18344,63078,40383,20502,14559,3515,5208,6234,4810,68201,36868,16461,9642,14872,06,047,11044,31333,5193,9653,0.08704157690117129,0.26061306840975057,0.11330601892498293,0.34979118954600563,0.17357149150857928,0.2364851706210227
"Modoc County, California",8651,2264,124,54,29,67,52,1649,435,57,267,119,2264,1773,479,2264,1773,489,480,124,67,107,249,2923,1649,384,267,890,06,049,356,1274,81,176,0.06993795826283136,0.2184049079754601,0.11042944785276074,0.3151750972762646,0.14846694971262875,0.20474564942350384
